Date,RAIN,TMAX,TMIN,SRAD,MINRH
8/14/1981,0,34,19.5,24,34
8/15/1981,0,32.6,18.7,24.6,42
8/16/1981,0,32.3,18.4,20.6,42
8/17/1981,14,29.5,21.4,14.3,59
8/18/1981,0,30.6,21.3,19.2,50
8/19/1981,1,30.7,20.5,22.7,50
8/20/1981,0,30.5,20.5,22.2,49
8/21/1981,6.9,31.5,19.1,20.2,48
8/22/1981,5.2,26.7,20.6,14.5,64
8/23/1981,0,31,19.4,25.6,42
8/24/1981,0,28.1,19.6,16.4,32
8/25/1981,0,32.5,20.3,20.9,38
8/26/1981,0,31.5,20.6,20.1,41
8/27/1981,0,34.3,21.5,23.4,36
8/28/1981,0,32.2,19.5,23.6,31
8/29/1981,0,33.3,16.4,28,25
8/30/1981,0,32.2,16.5,23.7,22
8/31/1981,0,32.3,14.6,28.2,34
9/1/1981,0,31.8,19.9,22,43
9/2/1981,0,34.5,18.3,26.3,25
9/3/1981,0,34.5,16.5,26.7,26
9/4/1981,0,32.2,17.8,20.8,40
9/5/1981,0,34.2,17.5,24.8,28
9/6/1981,0,35.5,19.3,28.6,24
9/7/1981,0,32.6,19.9,23.7,34
9/8/1981,0,32.5,18.2,22,42
9/9/1981,6.9,32,21.4,20.9,48
9/10/1981,0,26.3,21.5,10.4,66
9/11/1981,0,26.2,20.1,13.1,58
9/12/1981,0,29.2,18,22.2,50
9/13/1981,0,32.3,16.7,28.2,40
9/14/1981,NA,NA,NA,NA,NA
9/15/1981,NA,NA,NA,NA,NA
9/16/1981,NA,NA,NA,NA,NA
9/17/1981,NA,NA,NA,NA,NA
9/18/1981,NA,NA,NA,NA,NA
9/19/1981,NA,NA,NA,NA,NA
9/20/1981,NA,NA,NA,NA,NA
9/21/1981,NA,NA,NA,NA,NA
9/22/1981,NA,NA,NA,NA,NA
9/23/1981,NA,NA,NA,NA,NA
9/24/1981,NA,NA,NA,NA,NA
9/25/1981,NA,NA,NA,NA,NA
9/26/1981,NA,NA,NA,NA,NA
9/27/1981,NA,NA,NA,NA,NA
9/28/1981,NA,NA,NA,NA,NA
9/29/1981,NA,NA,NA,NA,NA
9/30/1981,NA,NA,NA,NA,NA
10/1/1981,NA,NA,NA,NA,NA
10/2/1981,NA,NA,NA,NA,NA
10/3/1981,NA,NA,NA,NA,NA
10/4/1981,NA,NA,NA,NA,NA
10/5/1981,NA,NA,NA,NA,NA
10/6/1981,NA,NA,NA,NA,NA
10/7/1981,NA,NA,NA,NA,NA
10/8/1981,NA,NA,NA,NA,NA
10/9/1981,NA,NA,NA,NA,NA
10/10/1981,NA,NA,NA,NA,NA
10/11/1981,NA,NA,NA,NA,NA
10/12/1981,NA,NA,NA,NA,NA
10/13/1981,NA,NA,NA,NA,NA
10/14/1981,NA,NA,NA,NA,NA
10/15/1981,0,28.7,21,25,54
10/16/1981,0,31.1,17.5,18.2,42
10/17/1981,0.4,28.5,19.3,18.7,54
10/18/1981,0,31.2,17.9,28.2,41
10/19/1981,0,28.5,18,17.9,49
10/20/1981,0,30.6,16.5,25,42
10/21/1981,0,29.6,18.5,19.3,50
10/22/1981,0,31.1,18.6,24.9,40
10/23/1981,0,31.3,18.8,24.2,43
10/24/1981,2,28,18.8,13.5,47
10/25/1981,0,30,15.7,27,44
10/26/1981,1.2,29.1,18.6,17,52
10/27/1981,0,29.5,17.8,23.2,44
10/28/1981,0,28.5,18.9,20,54
10/29/1981,0.4,31.2,17.1,27.5,45
10/30/1981,0,30.8,19,25.1,45
10/31/1981,10.5,30.5,17.5,22.9,43
11/1/1981,0,29.4,21.2,17.5,46
11/2/1981,0,31.6,17,27.9,35
11/3/1981,0,29.5,19.5,19.2,47
11/4/1981,0,30.2,18.5,21,51
11/5/1981,0,30.1,19.8,20.4,51
11/6/1981,0,29.3,18.8,20.9,50
11/7/1981,0,28.5,20.2,19.7,50
11/8/1981,0,29.4,20.2,17,44
11/9/1981,5.5,31.2,19.7,24.3,45
11/10/1981,3.2,30,19,27.1,52
11/11/1981,2.1,29.2,19.4,21.7,54
11/12/1981,10.2,29.4,20,24.8,52
11/13/1981,0,29.5,18.5,20.3,55
11/14/1981,0,29.5,20.1,21.1,50
